number,ID,TITLE,SONG
81,81,Yes he is mine,"Yes he is mine, yes he is mine
Joy is in my soul, peace on my mind
Yes he is mine, yes he is mine
Jesus the Lord is mine"
82,82,I'm riding with Jesus on the hallelujah train,"I'm riding with Jesus on the hallelujah train
I'm singing, I'm shouting on the hallelujah train
The train has left the station
For heaven is my destination
I'm riding with Jesus on the hallelujah train"
83,83,I'm on my way to the mansion,"I'm on my way to the mansion
On the happy 'J' Express
And on the inside of the engine is J E S U S
I heard a voice from heaven
And I gladly answered \""Yes\""
I'm on my way to the mansion
On the happy 'J' Express"
84,84,He lifted me up from the miry clay,"He lifted me up from the miry clay
He planted my feet on a rock to stay
And that is the reason why I sing and I shout
My Jesus came down, 4own, down
And lifted me, up, up, up"
85,85,Everyday with Jesus is sweeter than the day before,"Everyday with Jesus is sweeter than the day before
Everyday with Jesus is sweeter than the honeycomb
Every time I feel him I just want to sing and shout
Everyday with Jesus is sweeter than the day before"
86,86,Come on let's spread the news of my God's love,"Come on let's spread the news of my God's love
Come on let's spread the news of my God's love
I wanna tell you how he died for me
On lonesome Calvary
Come on, come on, come on, come on
Let's spread the news of my God's love"
87,87,Leave Babylon,"Leave Babylon, leave Babylon
Leave Babylon and come
Don't mind your friends who laugh you to scorn
When Christ was here they done him the very same
Look to yourself and see how you live
Leave Babylon and come"
88,88,Free,"Free, free, free, I am from sin set free
I am counting on that man of Calvary
Who took away my sins, my heavy load of sin
And now I am rejoicing I am free, free, free"
89,89,My mind's made up and I won't turn back,"My mind's made up and I won't turn back
I'm going to see my Jesus some day
My mind's made up and I won't turn back
I'm going to see my Jesus some day"
90,90,It's bubbling,"It's bubbling, bubbling, bubbling
It's bubbling in my soul
I'm singing and I'm shouting
Since Christ has made me whole
Some folks can't understand it
But I can't keep it quiet
It's bubbling, bubbling, bubbling
It's bubbling in my soul"
91,91,Joy,"Joy, joy, joy, joy in heaven with the angels
Joy, joy, joy, when the prodigal returns
I was lost, but Jesus found me
And the angels played the record
It was the love of God, and communion sweet
Though the road was rough, yet the hill was steep
But it brings me joy"
92,92,At the cross,"At the cross, at the cross
Where I first saw the light
And the burdens of my heart rolled away
It was there by faith, I received my sight
And now I am happy all the way"
93,93,Once I was lost in sin,"Once I was lost in sin
I had no hope within
My Jesus took me in with all my load of sins
He rolled them back from me
And he gives me victory
And now I'm happy as I go"
94,94,JESUS (Jesus),"JESUS (Jesus), JESUS (Jesus)
JESUS, JESUS, JESUS
SAVIOUR (Saviour), SAVIOUR (saviour)
SAVIOUR, SAVIOUR, SAVIOUR
MY FRIEND (My friend), MY FRIEND (My Friend)
MY FRIEND, MY FRIEND, MY FRIEND
HOLY GHOST (Holy Ghost), HOLY GHOST (Holy Ghost)
HOLY GHOST, HOLY GHOST, HOLY GHOST
COME NOW (Come Now), COME NOW (Come Now)
COME NOW, COME NOW, COME NOW
J-E-S-U-S Jesus, Jesus, Jesus, Jesus"
95,95,Trouble,"Trouble, trouble, trouble
The whole world in trouble
Trouble, trouble, trouble
The whole world in trouble
Climbing up the mountain, looking for my Lord
Seeking for King Jesus
Just to tell him all my troubles too"
96,96,Jesus has gone to prepare a mansion for me,"Jesus has gone to prepare a mansion for me
Far, far away, over the sea
There's no sickness, no sorrow, no pain and no woe
Jesus has gone to prepare a mansion for me"
97,97,The Lord has done great things for me,"The Lord has done great things for me
Whereof I am glad, whereof I am glad
The Lord, has done, great things, for me
Whereof I am glad
The Lord, has done, great things, for me
The Lord has done great things for me
Whereof I am glad"
98,98,The Lord is blessing me right now,"The Lord is blessing me right now, right now
I feel his presence as before him I bow
I may not be able to see all he has done for me
The Lord is blessing me right now, right now"
99,99,Where shall I go,"Where shall I go, where shall I go
Seeking a refuge for my soul
I need a friend to guide me to the end
Where shall I go but to the Lord"
100,100,I will say of the Lord,"I will say of the Lord, he is my refuge
I will say of the Lord, he is my fortress
He's a mighty God, he's a strong tower
In him will I put my trust"
101,101,He lifted me,"He lifted me, he lifted me
Jesus came along and he lifted me
From my load of sin and now I'm free
Glory hallelujah, Jesus lifted me"
102,102,Lets talk about Jesus the king of Kings is he,"Lets talk about Jesus the king of Kings is he
The Lord of all supreme throughout eternity
The Great I Am, The Way, The Truth, The Life, The Door
Lets talk about Jesus more and more"
103,103,Who made the Angels sing,"Who made the Angels sing
And who made the joy bells ring
And who is the king of kings
Nobody but my Lord
Yes he made the world he made the sea and land
Fastened them together with his mighty hand
Under his control they move at his command
Nobody but my Lord
Who lights the stars at night
Who made the sun so bright
Who guides the moon to light
Nobody but my Lord"
104,104,Hold fast to Jesus and he'll hold fast to you,"Hold fast to Jesus and he'll hold fast to you
Jesus is my only friend, it's absolutely true
Read your Bible, sing and pray
Look to Jesus everyday
Hold fast to Jesus and he'll hold fast to you"
105,105,What do you think about Jesus?,"What do you think about Jesus?
He's alright
What do you think about Jesus?
He's alright
He's alright, alright, alright
What do you think about the Holy Ghost?
It's alright
What do you think about the Holy Ghost?
It's alright
It's alright, alright, alright
What do you think about the Bible?
It's alright
What do you. think about the Bible?
It's alright
It's alright, alright, alright
Jesus, Jesus, Jesus, he's alright
Jesus, Jesus, Jesus, he's alright
He's alright, alright, alright"
106,106,Jesus He's the way maker,"Jesus He's the way maker, Jesus He's the way maker
Jesus He's the way maker
One day he made a way 0h glory
When I was lost in sin he came and took me in
One day he made a way for me"
107,107,Son of Man,"Son of Man, Son of Man, can these dry bones live
Down in the valley Ezekiel prayed
\""Oh Lord Thou Knowest\""
Prophesy to these bones, saying unto them
\""Woe, ye bones, hear the Word of God\"""
108,108,What a Mighty God we serve,"What a Mighty God we serve
What a Mighty God we serve
Angels bow before him
Heaven and earth adore him
What a Mighty God we serve"
109,109,God is not dead,"God is not dead, he's yet alive
God is not dead, he's yet alive
God is not dead, he's yet alive
I can feel him in my hands
I can feel him in my feet
I can feel him all over me"
110,110,Just a little longer and the trump of God shall sound,"Just a little longer and the trump of God shall sound
Just a little longer and we'll all be glory bound
Look away to heaven our redemption draweth nigh
Just a little longer we shall meet him in the sky"
111,111,Praise,"Praise. him, praise him
Praise him in the morning
Praise him in the evening
Praise him, praise him
Praise him when the sun goes down"
112,112,Thank you Lord for saving my soul,"Thank you Lord for saving my soul
Thank you Lord for making me whole
Thank you Lord for everything
Oh I want to thank you Lord"
113,113,Awake,"Awake, Zion, awake
Awake and trim your lamps
Awake, Zion, awake
Awake and trim your lamps
For the stars of Heaven shall fall
And the moon shall turn into blood
And the Son of man shall appear
Zion awake"
114,114,Get together,"Get together, get together, get together in the Lord
Let us all get together in the Lord
Let us greet one another like sisters and brothers
Let us all get together in the Lord"
115,115,We are the temple of the Lord,"We are the temple of the Lord
Hallelujah, hallelujah
We are the temple of the Lord
Praise his name
Our bodies must be holy
Before we tell the story
We are the temple or the Lord
Praise his name"
116,116,There is something in my heart springing up,"There is something in my heart springing up
There is something in my heart springing up
It feels like fire, it feels like rain
There is something in my heart springing up"
117,117,Jesus has a home for me and when I get there,"Jesus has a home for me and when I get there
Showers of blessings from the Lord I'll receive
Walking on the streets of shining gold
Brother where the endless ages roll
What a glory when we all get there"
118,118,I've got a new look from the Bible,"I've got a new look from the Bible
I've got a new look from the Bible
I've got a new look from the Bible
I've got a new look from God's Ward"
119,119,I want a revival in my soul,"I want a revival in my soul
I want a revival in my soul
I must apply to the blood of Jesus
To get a revival in my soul"
120,120,I want to go to heaven and rest,"I want to go to heaven and rest
I'm tired of staying down here
I'm tired of troubles and trials
I want to go to heaven and rest"
121,121,Tell me what more,"Tell me what more, what more can Jesus do
Tell me what more, what more can Jesus do
He has laid the foundation opened wide the door
Tell me what more, what more can Jesus do"
122,122,We are rolling on,"We are rolling on, we are rolling(moving) on
Under the tree of life, we are rolling on
Lord I believe, Christ to receive
Under the tree of life we are rolling on"
123,123,If you only knew the blessings that Salvation brings,"If you only knew the blessings that Salvation brings
you would never stay away
If you only see the table spread with lovely things
you would come to the feast today
For the door is opened wide
And the Saviour bids you come
There is nothing you'll have to pay
So be wise and step inside and do not be like those
Who have thrown their only chance away"
124,124,I'll praise the Lord forever,"I'll praise the Lord forever, forever and forever
I'll praise the Lord forever
He has done so much for me
I'll praise the Lord forever, forever and forever
I can't forget to praise His name
He has done so much for me"
125,125,I'm gonna keep right under the blood,"I'm gonna keep right under the blood
I'm gonna keep right under the blood
I'm gonna keep right under the blood
Where the Devil can do me no harm. -
No harm, no harm, no harm
No harm, no harm, no harm
No harm, no harm, no harm
Where the Devil can do me no harm"
126,126,I'm walking with Jesus,"I'm walking with Jesus, he's holding my hand
I'm talking with Jesus, for I know he understands
He never will leave me, he'll keep to the end
That's why I love him for I know he is my friend"
127,127,I'm satisfied with Jesus,"I'm satisfied with Jesus
I'm satisfied with Jesus
He said he'll be my comfort
He said he'll be my guide
I've been baptized in Jesus' name
Tarried at the altar till the Holy Ghost came
Ever since that wonderful day
My soul's been satisfied"
128,128,I do not know what the day will bring,"I do not know what the day will bring
Or what the future holds for me
But this I know, since Jesus saved me
I shall go home some day"
129,129,I love the old time way,"I love the old time way
I love the old time way
I love the old time, singing, shouting, preaching, praying
I love the old time way"
130,130,I was wandering out in the wilderness,"I was wandering out in the wilderness
Far away, far away
But Jesus sought me in tenderness
Happy day, happy day"
131,131,If you ask me how I'm saved,"If you ask me how I'm saved, I'll tell you how
I'm saved like the Apostles
I'm saved like Cornelius
I've repented of my sins
Baptized in Jesus' Name
I'm filled with the Holy Ghost
That's how I'm saved"
132,132,It's different now,"It's different now, since Jesus saved my soul
It's different now, since Christ has made me whole
Satan has to flee, since Christ has made me free
Things are different now"
133,133,You've got to keep on walking,"You've got to keep on walking, keep on walking
Walking in the light of the Lord
You'll get to heaven some day if you walk the right way
Walking in the light of the Lord"
134,134,It soon be done,"It soon be done, all the troubles and trials
When I get home on the other side
I'm gonna shake my hands with the elders
I'm gonna tell all the people good morning
I'm gonna. sit down beside my Jesus
I'm gonna sit down and rest a little while"
135,135,Anywhere he went (Anywhere he went),"Anywhere he went (Anywhere he went)
He was doing good (He was doing good)
He taught the Beatitudes
And he fed the Multitudes
Anywhere he went
And when the people saw him they started walking
And they were talking as they should
Anywhere he went, my Lord was doing good"
136,136,When my pilot comes I'll take a heavenly ride,"When my pilot comes I'll take a heavenly ride
I will be so happy with Jesus by my side
High above the sun, the moon, the stars I'll rise
When my pilot comes I'll take a heavenly ride"
137,137,Wonderful Jesus,"Wonderful Jesus, Bright Morning Star
Lily of the Valley that's who you are
So glad I know you, 0h yes I do
Wonderful Jesus, thou art so true"
138,138,You cannot hide from God his eyes are watching you,"You cannot hide from God his eyes are watching you
Whatever you do, whatever you say
You cannot hide from God his eyes are watching you
God's eyes are watching you"
139,139,W-H-O do Men say I am,"W-H-O do Men say I am, from whence they say I came
Do you know the Father, and canst thou tell his name
In Jesus dwells the fullness of the Godhead bodily
Jesus is the Great I Am, and Lord of Lords is he"
140,140,Why don't you look around and see,"Why don't you look around and see
What the Lord has done for me
It makes me want to run all the way
Sometimes my burden's heavy
Sometimes I can't be free
Why don't you look around and see
What the Lord has done for me"
141,141,If I could hear my Mother pray again,"If I could hear my Mother pray again
If I could hear her tender voice and then
How glad I'll be, she means so much to me
If I could hear my Mother pray again"
142,142,Father look where you brought me from,"Father look where you brought me from
Father look where you brought me from
I was lost in the world, doing as I pleased
Father look where you brought me from"
143,143,Hide thou me,"Hide thou me, thou Rock of Ages hide thou me
Hide thou me, thou Rock of Ages hide thou me
When this world is set on fire, hide thou me
My Jesus' bosom to be my pillow hide thou me"
144,144,He never failed me yet,"He never failed me yet, he never failed me yet
Jesus Christ never failed me yet
Anywhere I go
I want the world to know
Jesus Christ never failed me yet"
145,145,This joy that I have got the Devil didn't give it to me,"This joy that I have got the Devil didn't give it to me
This joy that I have got the Devil didn't give it to me
This joy that I have got the Devil didn't give it to me
The Devil didn't give it, the Devil cannot take it away"
146,146,If you have a talent use it for the Lord,"If you have a talent use it for the Lord
If you have a talent use it for the Lord
If you do not use it 
you will surely lose it
If you have a talent use it for the Lord"
147,147,That will be glory,"That will be glory, wonderful glory for me
When I see Jesus the one whom I love
Clothed in his brightness, he'll sit on his throne
That will be glory for me"
148,148,We'll be shouting on the hills of glory,"We'll be shouting on the hills of glory
Shouting on the hills, shouting on the hills
When we reach the Land of Peace
We'll tell the story
Shouting on the hills of God"
149,149,He gave his life for you and for me,"He gave his life for you and for me
Jesus the sweet Nazarene
I know that some day in glory his face I shall see
Jesus the sweet Nazarene"
150,150,You can walk as you like,"You can walk as you like, talk as you like
But you can't get to heaven as you like
The Holy Ghost power is needed
So get your vessels right
Set your house in order for the power
Will be here tonight"
151,151,You go,"You go, I'll go with you
Open up your mouth and I'll speak for you
Lord if I go, wont you tell me what to say
For they wont believe on me"
152,152,Daniel saw the stone rolling down to Babylon,"Daniel saw the stone rolling down to Babylon
Daniel saw the stone rolling down to Babylon
Daniel saw the stone rolling down to Babylon
Daniel saw the stone
The lily white stone rolling down to Babylon
The lily white stone rolling down to Babylon
The lily white stone rolling down to Babylon
Daniel saw the stone"
153,153,It's G L O R Y to know I'm S A V E D,"It's G L O R Y to know I'm S A V E D
I'm H A P P Y because I'm F R E E
Once I was B O U N D by the chains of S I N
Now V I C T O R Y is mine with Christ within"
154,154,Everyday with Jesus,"Everyday with Jesus, is sweeter than the day before
Everyday with Jesus, I love him more and more
Jesus saves and keeps me and he's the one that I adore
Everyday with Jesus, is sweeter than the day before"
155,155,God is getting us ready for that great day,"God is getting us ready for that great day
God is getting us ready for that great day
God is getting us ready for that great day
Who shall be able to stand?
He that hath a clean and a pure heart
He that hath a clean and a pure heart
He that hath a clean and a pure heart
He shall be able to stand"
156,156,Blessed quietness holy quietness,"Blessed quietness holy quietness
What assurance in my soul
Over stormy seas, my Jesus speaks to me
And the billows cease to roll"
157,157,I'm moving on to a higher calling,"I'm moving on to a higher calling
I'm moving on with my sins all gone
I'll lay my burdens at Jesus' feet
I'm moving on, Praise the Lord 
I'm moving on"
158,158,No sin,"No sin, no sin at all
No sin, no sin at all
No sin cannot enter there
For heaven's so bright and fair
No sin cannot enter there"
159,159,I've got a joy,"I've got a joy, joy, joy, joy down in my heart, where ?
Down in my heart, where ?
Down in my heart
I've got a joy, joy, joy, joy down in my heart, where ?
Down in my heart to stay
I know the Devil doesn't like it, but it's down in my heart
Down in my heart, where ?
Down in my heart
I know the Devil doesn't like it, but it's down in my heart
Down in my heart to stay
I've got a peace that passeth understanding down in my heart, where ?
Down in my heart, where ?
Down in my heart
I've got a peace that passeth understanding down in my heart, where ?
Down in my heart to stay"
160,160,It's so sweet to be saved,"It's so sweet to be saved
It's so sweet to be saved
And filled with the Holy Ghost and fire too
It's so sweet to be saved
I've been to the waters I've been baptized
I've been to the waters I've been baptized
My soul is converted, I feel alright
It's so sweet to be saved"
161,161,Everyday will be Sunday,"Everyday will be Sunday, everyday will be Sunday
Everyday will be Sunday by and by
When we're gonna walk the streets of gold
And lean on Jasper's wall
Everyday will be Sunday by and by"
162,162,Get right in the Spirit,"Get right in the Spirit, brother cut lose from sin
Get on the fiery line
Open up your windows and the light will come in
Jesus is there to make it right"
163,163,Waiting,"Waiting, waiting, waiting Lord on thee
Waiting, waiting, waiting Lord on thee
Lord send the power, down from above
While we are waiting on thee"
164,164,Thank God I've got it too,"Thank God I've got it too
it's the Holy Ghost I mean
it's burning, burning, in my soul
thank God I've got it too"
165,165,Born,"Born, born, born again
Thank God I'm born again
Born, born, born again
Thank God I'm born again
Born of the water, spirit and the blood
Thank God I'm born again
Born of the water, spirit and the blood
Thank God I'm born again"
166,166,Sons of God march forward,"Sons of God march forward
in the power of the latter rain
Sons of God, march forward
for Jesus is ever the sane
Sons of God march forward
we are more than Conquerors in his name
Sons of God march forward
In the power of the latter rain"
167,167,Jesus is near,"Jesus is near, he is just at the door
Jesus is near
He's very near and he said that when he's near
There'll be a great falling away
Rumours of wars, rumours of wars, can you not see"
168,168,Blessed Holy Ghost come down,"Blessed Holy Ghost come down, fall on Zion
Blessed Holy Ghost come down, fall on Zion
If you call at midnight and Jesus hears, he will answer
If you call at noon-day the Holy Ghost sets you soul on fire
The invitation from the Preacher, sent the sinner to the alter
Sets you soul on fire. Blessed Holy Ghost come
Down fall on Zion"
169,169,What can keep me daily from sin,"What can keep me daily from sin
Nothing but the Word of God
What can keep me daily from sin
Nothing but the Word of God
For it kept Joseph from Potifar's wife
Daniel in the lion's den
What can keep me daily from sin
Nothing but the word of God"
170,170,My God is real,"My God is real, real in my soul
my God is real
For he has cleansed and made me whole
His love for me, is like pure gold
My God is real for I can feel him in my soul"
171,171,Oh this wide world,"Oh this wide world, can never hold me
At any moment I'll be gone
For I have got my transportation
And I have got my wedding garment on"
172,172,I've seen the Lighthouse,"I've seen the Lighthouse, Amen
I've seen the Lighthouse, Amen
I've seen the Lighthouse, it must be Jesus
My home is in glory, Amen"
173,173,Spirit of God,"Spirit of God, coming down from heaven
Like a Lily white dove, so fresh and free
Heavenly Father send the Holy Spirit
like a lily white dove and baptize me"
174,174,Jesus keep me as an apple of thine eye,"Jesus keep me as an apple of thine eye
Hide me under the shadow of thy wings
For thou alone can keep me till I die
Lord Jesus keep me as the apple of thine eye"
175,175,Give it in love,"Give it in love, storing above
Give it with a willing heart
Give it in love, storing above
Give it with a willing heart"
176,176,Why dent you pray for me sometimes,"Why dent you pray for me sometimes
Why dent you pray for me sometimes
Why dent you pray for me sometimes
Why dent you pray for me
Holding on the rock and the rock holds me
Holding on the rock and the rock holds me
Holding on the rock and the rock holds me
Why dent you pray for me"
177,177,When we get to glory land,"When we get to glory land
Christ will hold us by the hand
United we'll be, so happy and free
In the blessed home above
we'll tell of his love
what a glorious day, when we get to glory land"
178,178,Push the fire,"Push the fire, push the fire
While others stay outside
Push the fire, push the fire
Push the fire, live the life
Do the right and push the fire"
179,179,When his wounded hands touched mine,"When his wounded hands touched mine
When his wounded hands touched mine
My Jesus set me free through all eternity
When his wounded hands touched mine"
180,180,Never a baby like Jesus,"Never a baby like Jesus, never a baby like Jesus
Prince Emmanuel, Wonderful Counsellor
Never a baby like Jesus"
181,181,Isaiah cried,"Isaiah cried, Isaiah cried
behold a virgin shall bear a son
He shall be called the Mighty God
the Everlasting Father
and the Prince of Peace"
182,182,Moses saw,"Moses saw, Moses saw the fire burning
Moses saw, Moses saw the fire burning
Moses saw, Moses saw the fire burning
Moses saw, the fire burning over there
Shining light, shining light in the valley
Shining light, shining light in the valley
Shining light, shining light in the valley
Shining light in the valley over there"
183,183,We've got the same kind of power over here,"We've got the same kind of power over here
We've got the same kind of power over here
We've got Mark sixteen, sixteen
We've got Acts second, thirty-eight
We've got the same kind of power over here"
184,184,There is something deep down in me,"There is something deep down in me
Telling me to go on
There is something deep down in me
Telling me to go on
There is something deep down in me
Telling me to go on, go on, go on, go on"
185,185,Never to be remembered any more,"Never to be remembered any more
Never to be remembered any more
I've cast my record of sinfulness
Into the sea of forgetfulness
Never to be remembered any more"
186,186,Redeemed,"Redeemed, when my burden of sin was high
Redeemed, when my soul was condemned to die
Redeemed, for the price I could not pay
Redeemed, hallelujah, redeemed"
187,187,Spirit of the Living God fall on me,"Spirit of the Living God fall on me
Let the fire of Pentecost fall on me
Fill me, thrill me, mould me, make me
Spirit of the Living God fall on me"
188,188,Write my name,"Write my name, write my name up there
Write my name, write my name up there
I put my finger on the golden pen
On the golden pen, on the golden pen
I put my finger on the golden pen
Write my name up there"
189,189,Don't board the wrong train,"Don't board the wrong train
Don't board the wrong train
If Satan is the driver he'll drive you down to hell
Don't board the wrong train
Don't board the wrong train
Just step off and step on the other train"
190,190,Until the day dawns and the shadows flee away,"Until the day dawns and the shadows flee away
Until the day dawns and the shadows flee away
Guide me Oh thou Great Jehovah
We'll be faithful to the end
Until the day dawns and the shadows flee away"
191,191,It is summertime in my heart,"It is summertime in my heart
It is summertime in my heart
Since Jesus saved me
New life he gave me
For when it's winter I have summer in my heart"
192,192,The lifeboat rescued me,"The lifeboat rescued me, the lifeboat rescued me
I was sinking fast and the lifeboat came
And the lifeboat rescued me"
193,193,I am under the rock,"I am under the rock, the rock is higher than I
Jehovah hide/guide me, I'm under the rock
Go tell my enemy, I'm under the rock
Jehovah hide/guide me, I'm under the rock"
194,194,I'm on the battle field for my Lord,"I'm on the battle field for my Lord
I'm on the battle field for my Lord
I'll fight till I die, I'll never run away
I'm on the battle field for my Lord"
195,195,We are soldiers in the army,"We are soldiers in the army, we have to fight
Although we have to cry
We've got to hold up the blood-stained banner
We've got to hold it up, we've got to hold it up
We've got to hold it up for life"
196,196,I'm running up the shining way,"I'm running up the shining way
I'm running up the shining way
Though the Devil's on my track
And trying to turn me back
But I'm' running up the shining way"
